metric,group_dimension,group_value,unit,bin_lower_exclusive,bin_upper_inclusive,bin_label,bin_count,bin_share,cumulative_count,cumulative_share,total_count
context_length_tokens,trigger_type,human,tokens,141254,158490,"(141254,158490]",1412,0.03800500632519581,23525,0.6331924743627702,37153
context_length_tokens,trigger_type,human,tokens,158490,177828,"(158490,177828]",1602,0.04311899442844454,25127,0.6763114687912147,37153
context_length_tokens,trigger_type,human,tokens,177828,199527,"(177828,199527]",1496,0.040265927381368936,26623,0.7165773961725836,37153
context_length_tokens,trigger_type,human,tokens,199527,223873,"(199527,223873]",1633,0.04395338196107986,28256,0.7605307781336635,37153
context_length_tokens,trigger_type,human,tokens,223873,251189,"(223873,251189]",1357,0.036524641347939604,29613,0.7970554194816031,37153
context_length_tokens,trigger_type,human,tokens,251189,281839,"(251189,281839]",909,0.024466395715016284,30522,0.8215218151966194,37153
context_length_tokens,trigger_type,human,tokens,281839,316228,"(281839,316228]",1027,0.027642451484402336,31549,0.8491642666810217,37153
context_length_tokens,trigger_type,human,tokens,316228,354814,"(316228,354814]",1010,0.02718488412779587,32559,0.8763491508088176,37153
context_length_tokens,trigger_type,human,tokens,354814,398108,"(354814,398108]",924,0.024870131617904342,33483,0.9012192824267219,37153
context_length_tokens,trigger_type,human,tokens,398108,446684,"(398108,446684]",843,0.022689957742308833,34326,0.9239092401690308,37153
context_length_tokens,trigger_type,human,tokens,446684,501188,"(446684,501188]",553,0.01488439695313972,34879,0.9387936371221705,37153
context_length_tokens,trigger_type,human,tokens,501188,562342,"(501188,562342]",436,0.011735256910612871,35315,0.9505288940327834,37153
context_length_tokens,trigger_type,human,tokens,562342,630958,"(562342,630958]",336,0.009043684224692488,35651,0.9595725782574759,37153
context_length_tokens,trigger_type,human,tokens,630958,707946,"(630958,707946]",352,0.009474335854439749,36003,0.9690469141119156,37153
context_length_tokens,trigger_type,human,tokens,707946,794329,"(707946,794329]",431,0.011600678276316853,36434,0.9806475923882324,37153
context_length_tokens,trigger_type,human,tokens,794329,891251,"(794329,891251]",341,0.009178262858988507,36775,0.989825855247221,37153
context_length_tokens,trigger_type,human,tokens,891251,999944,"(891251,999944]",378,0.010174144752779049,37153,1.0,37153
context_length_tokens,trigger_type,tool,tokens,708,795,"(708,795]",1,3.6266705351152374e-06,1,3.6266705351152374e-06,275735
context_length_tokens,trigger_type,tool,tokens,795,892,"(795,892]",1,3.6266705351152374e-06,2,7.253341070230475e-06,275735
context_length_tokens,trigger_type,tool,tokens,1259,1413,"(1259,1413]",1,3.6266705351152374e-06,3,1.0880011605345712e-05,275735
context_length_tokens,trigger_type,tool,tokens,2512,2819,"(2512,2819]",4,1.450668214046095e-05,7,2.5386693745806662e-05,275735
