session_turn_index,metric,group_dimension,group_value,unit,count,mean,stddev_population,min,p10,p25,p50,p75,p90,p95,p99,max,sum
21,isl_tokens,session_turn_index,21,tokens,3104,1193.3630798969073,2543.725062937176,1.0,39.30000000000001,78.0,319.5,1237.25,3013.800000000001,5083.5999999999985,12132.719999999965,43815.0,3704199.0
21,osl_tokens,session_turn_index,21,tokens,3104,674.2644974226804,1289.5347206253618,1.0,50.0,110.0,225.5,645.25,1710.0,2885.9999999999964,6836.699999999978,12445.0,2092917.0
21,context_length_tokens,session_turn_index,21,tokens,3104,78720.88466494845,37288.462855610574,13307.0,41868.9,54596.5,71567.0,95822.25,122776.10000000005,141524.94999999998,198968.2599999996,724411.0,244349626.0
22,isl_tokens,session_turn_index,22,tokens,2999,1177.400466822274,2357.681618501076,1.0,40.0,76.0,288.0,1213.5,3070.4000000000033,5280.299999999994,11125.279999999999,39247.0,3531024.0
22,osl_tokens,session_turn_index,22,tokens,2999,692.1037012337446,1533.2591290348028,1.0,48.0,105.0,217.0,609.5,1624.0,2700.4999999999995,7638.899999999998,24570.0,2075619.0
22,context_length_tokens,session_turn_index,22,tokens,2999,80545.02467489163,37682.49946165041,14535.0,43006.6,55978.0,73562.0,98335.0,124949.80000000006,143974.19999999995,199477.49999999997,724804.0,241554529.0
23,isl_tokens,session_turn_index,23,tokens,2893,1128.037331489803,2547.152127491318,6.0,39.0,70.0,258.0,1151.0,2964.800000000002,4683.200000000001,10864.39999999999,56455.0,3263412.0
23,osl_tokens,session_turn_index,23,tokens,2893,656.1645350846871,1292.243867661564,1.0,52.0,106.0,226.0,637.0,1552.4000000000005,2757.600000000001,6228.359999999997,19939.0,1898284.0
23,context_length_tokens,session_turn_index,23,tokens,2893,82297.54683719322,38251.45368883369,14730.0,44048.8,57056.0,75077.0,100495.0,127667.80000000002,147612.2,202985.51999999996,725444.0,238086803.0
24,isl_tokens,session_turn_index,24,tokens,2782,1091.464773544213,2225.847281713755,1.0,39.10000000000002,70.0,269.0,1094.75,2779.3000000000025,5114.849999999967,11634.800000000007,27364.0,3036455.0
24,osl_tokens,session_turn_index,24,tokens,2782,689.1944644140906,1347.7743778060317,1.0,47.0,105.0,237.5,660.5,1700.9,3046.8999999999887,6597.360000000002,17310.0,1917339.0
24,context_length_tokens,session_turn_index,24,tokens,2782,84205.40510424155,38867.53104563235,14827.0,45201.0,58549.0,76532.0,102488.5,130179.0,151254.69999999992,206615.5500000001,726884.0,234259437.0
25,isl_tokens,session_turn_index,25,tokens,2682,1089.643922445936,2155.7847718303437,5.0,37.0,69.0,251.0,1108.0,2912.7000000000003,5024.149999999997,11013.770000000004,22742.0,2922425.0
25,osl_tokens,session_turn_index,25,tokens,2682,721.183072334079,1367.7587690733837,1.0,50.0,110.0,241.0,676.0,1809.5000000000005,3235.0999999999967,6885.750000000002,15807.0,1934213.0
25,context_length_tokens,session_turn_index,25,tokens,2682,85848.0182699478,39378.45489578228,15210.0,46325.8,59881.5,78259.0,104670.25,134163.90000000005,153658.8499999998,206579.3400000002,727780.0,230244385.0
26,isl_tokens,session_turn_index,26,tokens,2602,984.9400461183704,1967.8347772289305,3.0,37.0,68.0,271.5,1032.0,2481.7000000000003,4329.849999999999,8961.229999999983,37095.0,2562814.0
26,osl_tokens,session_turn_index,26,tokens,2602,682.0714834742506,1398.9505049354175,1.0,46.0,102.0,224.5,632.0,1653.2000000000007,3014.699999999999,7051.319999999963,21372.0,1774750.0
26,context_length_tokens,session_turn_index,26,tokens,2602,87352.14681014605,38058.64940342376,15366.0,47411.3,60803.0,79933.5,106099.5,135700.30000000002,156027.84999999998,211609.34999999884,390500.0,227290286.0
27,isl_tokens,session_turn_index,27,tokens,2518,1031.9837172359016,2303.6489042731787,6.0,39.0,67.0,247.0,956.5,2676.6000000000095,4513.450000000001,11304.839999999953,49815.0,2598535.0
27,osl_tokens,session_turn_index,27,tokens,2518,675.2160444797458,1358.6190260158237,1.0,46.0,105.0,229.0,641.75,1750.6000000000004,2802.0500000000006,6345.269999999995,32668.0,1700194.0
27,context_length_tokens,session_turn_index,27,tokens,2518,89296.21604447975,38956.779155619304,15465.0,48616.200000000004,62098.0,81423.5,108387.75,139630.0,159963.25,216123.53999999986,390976.0,224847872.0
28,isl_tokens,session_turn_index,28,tokens,2442,1104.554873054873,2325.5358986407664,1.0,39.0,70.0,282.0,1083.25,2850.6000000000004,5156.299999999983,10514.930000000004,40626.0,2697323.0
28,osl_tokens,session_turn_index,28,tokens,2442,719.1420966420966,1473.733827051024,1.0,47.0,105.0,239.0,677.5,1709.000000000001,3222.4499999999907,7164.65000000002,21727.0,1756145.0
28,context_length_tokens,session_turn_index,28,tokens,2442,91176.43243243243,39698.17892396755,15794.0,49641.8,63676.75,82970.0,110468.25,140931.2,165006.94999999995,220206.23000000024,396843.0,222652848.0
