metric,group_dimension,group_value,unit,bin_lower_exclusive,bin_upper_inclusive,bin_label,bin_count,bin_share,cumulative_count,cumulative_share,total_count
isl_tokens,provider,claude,tokens,4,5,"(4,5]",108,0.0005934000725266755,232,0.001274711266909155,182002
isl_tokens,provider,claude,tokens,5,6,"(5,6]",594,0.0032637003988967156,826,0.0045384116658058705,182002
isl_tokens,provider,claude,tokens,6,7,"(6,7]",207,0.0011373501390094614,1033,0.005675761804815332,182002
isl_tokens,provider,claude,tokens,7,8,"(7,8]",200,0.0010988890231975472,1233,0.006774650828012879,182002
isl_tokens,provider,claude,tokens,8,9,"(8,9]",242,0.0013296557180690323,1475,0.008104306546081911,182002
isl_tokens,provider,claude,tokens,9,10,"(9,10]",281,0.001543939077592554,1756,0.009648245623674466,182002
isl_tokens,provider,claude,tokens,10,12,"(10,12]",535,0.002939528137053439,2291,0.012587773760727904,182002
isl_tokens,provider,claude,tokens,12,13,"(12,13]",1303,0.007159261986132021,3594,0.019747035746859924,182002
isl_tokens,provider,claude,tokens,13,15,"(13,15]",1233,0.006774650828012879,4827,0.026521686574872805,182002
isl_tokens,provider,claude,tokens,15,16,"(15,16]",336,0.0018461335589718794,5163,0.028367820133844684,182002
isl_tokens,provider,claude,tokens,16,18,"(16,18]",1852,0.010175712354809288,7015,0.03854353248865397,182002
isl_tokens,provider,claude,tokens,18,20,"(18,20]",1217,0.006686739706157075,8232,0.045230272194811044,182002
isl_tokens,provider,claude,tokens,20,23,"(20,23]",1566,0.008604301051636795,9798,0.05383457324644784,182002
isl_tokens,provider,claude,tokens,23,26,"(23,26]",1047,0.00575268403643916,10845,0.059587257282887,182002
isl_tokens,provider,claude,tokens,26,29,"(26,29]",841,0.004620828342545687,11686,0.06420808562543269,182002
isl_tokens,provider,claude,tokens,29,32,"(29,32]",1052,0.005780156262019099,12738,0.06998824188745179,182002
isl_tokens,provider,claude,tokens,32,36,"(32,36]",1449,0.00796145097306623,14187,0.07794969286051802,182002
isl_tokens,provider,claude,tokens,36,40,"(36,40]",3104,0.017054757640025935,17291,0.09500445050054394,182002
isl_tokens,provider,claude,tokens,40,45,"(40,45]",1683,0.00924715113020736,18974,0.10425160163075131,182002
isl_tokens,provider,claude,tokens,45,51,"(45,51]",2166,0.011900968121229438,21140,0.11615256975198075,182002
isl_tokens,provider,claude,tokens,51,57,"(51,57]",2596,0.014263579521104163,23736,0.13041614927308492,182002
isl_tokens,provider,claude,tokens,57,64,"(57,64]",4281,0.0235217195415435,28017,0.1539378688146284,182002
isl_tokens,provider,claude,tokens,64,71,"(64,71]",5655,0.031071087130910648,33672,0.18500895594553907,182002
isl_tokens,provider,claude,tokens,71,80,"(71,80]",6506,0.035746859924616216,40178,0.22075581587015528,182002
isl_tokens,provider,claude,tokens,80,90,"(80,90]",5179,0.028455731255700487,45357,0.24921154712585575,182002
isl_tokens,provider,claude,tokens,90,100,"(90,100]",3590,0.019725057966395974,48947,0.26893660509225176,182002
isl_tokens,provider,claude,tokens,100,113,"(100,113]",3741,0.020554719178910122,52688,0.28949132427116187,182002
isl_tokens,provider,claude,tokens,113,126,"(113,126]",3767,0.020697574751925803,56455,0.31018889902308766,182002
isl_tokens,provider,claude,tokens,126,142,"(126,142]",3943,0.021664597092339644,60398,0.3318534961154273,182002
isl_tokens,provider,claude,tokens,142,159,"(142,159]",3419,0.01878550785156207,63817,0.3506390039669894,182002
isl_tokens,provider,claude,tokens,159,178,"(159,178]",3718,0.020428346941242403,67535,0.3710673509082318,182002
isl_tokens,provider,claude,tokens,178,200,"(178,200]",4275,0.023488752870847573,71810,0.39455610377907935,182002
isl_tokens,provider,claude,tokens,200,224,"(200,224]",5056,0.027779914506433995,76866,0.42233601828551337,182002
isl_tokens,provider,claude,tokens,224,252,"(224,252]",5565,0.030576587070471752,82431,0.4529126053559851,182002
isl_tokens,provider,claude,tokens,252,282,"(252,282]",3717,0.020422852496126416,86148,0.4733354578521115,182002
isl_tokens,provider,claude,tokens,282,317,"(282,317]",3986,0.021900858232327118,90134,0.49523631608443863,182002
isl_tokens,provider,claude,tokens,317,355,"(317,355]",4287,0.023554686212239426,94421,0.5187910022966781,182002
isl_tokens,provider,claude,tokens,355,399,"(355,399]",4607,0.025312908649355502,99028,0.5441039109460336,182002
isl_tokens,provider,claude,tokens,399,447,"(399,447]",4038,0.02218656937835848,103066,0.566290480324392,182002
isl_tokens,provider,claude,tokens,447,502,"(447,502]",3841,0.021104163690508895,106907,0.5873946440149009,182002
